frame_id,num_gt,num_detections,num_matched_gt,num_unmatched_gt,num_tp_dets,num_fp_dets
1190,2,5,1,1,1,4
1192,2,5,1,1,1,4
1194,2,6,1,1,1,5
1196,2,6,1,1,1,5
1198,2,5,1,1,1,4
1200,2,7,1,1,1,6
1202,2,6,0,2,0,6
1204,2,6,0,2,0,6
1206,2,6,0,2,0,6
1208,2,5,0,2,0,5
1210,2,7,0,2,0,7
1212,2,4,0,2,0,4
1214,2,6,0,2,0,6
1216,2,7,0,2,0,7
1218,2,7,0,2,0,7
1220,2,8,0,2,0,8
1222,2,9,0,2,0,9
1224,2,7,0,2,0,7
1226,2,7,0,2,0,7
1228,2,5,0,2,0,5
1230,2,8,1,1,1,7
1232,2,9,1,1,1,8
1234,2,6,0,2,0,6
1236,2,6,0,2,0,6
1238,2,5,0,2,0,5
1240,2,6,0,2,0,6
1242,2,6,0,2,0,6
1244,2,6,0,2,0,6
1246,2,5,0,2,0,5
1248,2,5,0,2,0,5
1250,2,9,1,1,1,8
1252,2,8,1,1,1,7
1254,2,8,1,1,1,7
1256,2,7,0,2,0,7
1258,2,7,1,1,1,6
1260,2,5,0,2,0,5
1262,2,5,0,2,0,5
1264,2,3,0,2,0,3
1266,2,4,0,2,0,4
1268,2,3,0,2,0,3
1270,2,6,0,2,0,6
1272,2,6,0,2,0,6
1274,2,6,0,2,0,6
1276,2,7,0,2,0,7
1278,2,3,0,2,0,3
1280,2,5,1,1,1,4
1282,2,7,1,1,1,6
1284,2,5,0,2,0,5
1286,2,8,0,2,0,8
1288,2,8,0,2,0,8
1290,2,8,0,2,0,8
1292,2,7,0,2,0,7
1294,2,5,0,2,0,5
1296,2,8,0,2,0,8
1298,2,8,0,2,0,8
1300,2,6,0,2,0,6
1302,2,4,0,2,0,4
1304,2,9,0,2,0,9
1306,2,11,0,2,0,11
1308,2,8,0,2,0,8
1310,2,9,0,2,0,9
1312,2,10,0,2,0,10
1314,2,4,0,2,0,4
1316,2,4,0,2,0,4
1318,2,5,0,2,0,5
1320,2,4,0,2,0,4
1322,2,9,0,2,0,9
1324,2,7,0,2,0,7
1326,2,8,0,2,0,8
1328,2,6,0,2,0,6
1330,2,7,0,2,0,7
1332,2,7,0,2,0,7
1334,2,6,0,2,0,6
1336,2,7,0,2,0,7
1338,2,11,0,2,0,11
1340,2,7,0,2,0,7
1342,2,7,0,2,0,7
1344,2,7,0,2,0,7
1346,2,8,0,2,0,8
1348,2,8,0,2,0,8
1350,2,6,0,2,0,6
1352,2,5,0,2,0,5
1354,2,8,0,2,0,8
1356,2,5,0,2,0,5
1358,2,4,0,2,0,4
1360,2,5,0,2,0,5
1362,2,6,0,2,0,6
1364,2,5,0,2,0,5
1366,2,4,0,2,0,4
1368,2,4,0,2,0,4
1370,2,4,0,2,0,4
1372,2,4,0,2,0,4
1374,2,4,0,2,0,4
1376,2,6,0,2,0,6
1378,2,4,0,2,0,4
1380,2,6,0,2,0,6
1382,2,6,0,2,0,6
1384,2,5,0,2,0,5
1386,2,4,0,2,0,4
1388,2,4,0,2,0,4
1390,2,5,0,2,0,5
1392,2,5,0,2,0,5
1394,2,5,0,2,0,5
1396,2,5,0,2,0,5
1398,2,6,0,2,0,6
1400,2,4,0,2,0,4
1402,2,6,0,2,0,6
1404,2,4,0,2,0,4
1406,2,4,0,2,0,4
1408,2,4,0,2,0,4
1410,2,5,0,2,0,5
1412,2,4,0,2,0,4
1414,2,4,0,2,0,4
1416,2,6,0,2,0,6
1418,2,4,0,2,0,4
1420,2,3,0,2,0,3
1422,2,4,0,2,0,4
1424,2,4,0,2,0,4
1426,2,6,0,2,0,6
1428,2,4,0,2,0,4
1430,2,4,0,2,0,4
1432,2,3,0,2,0,3
1434,2,4,0,2,0,4
1436,2,4,0,2,0,4
1438,2,3,0,2,0,3
1440,2,3,0,2,0,3
1442,2,2,0,2,0,2
1444,2,1,0,2,0,1
1446,2,4,0,2,0,4
1448,2,3,0,2,0,3
1450,2,3,0,2,0,3
1452,2,3,0,2,0,3
1454,2,4,0,2,0,4
1456,2,2,0,2,0,2
1458,2,4,0,2,0,4
1460,2,2,0,2,0,2
1462,2,4,0,2,0,4
1464,2,3,0,2,0,3
1466,2,3,0,2,0,3
1468,2,4,0,2,0,4
1470,2,3,0,2,0,3
1472,2,2,0,2,0,2
1474,2,2,0,2,0,2
1476,2,2,0,2,0,2
1478,2,2,0,2,0,2
1480,2,2,0,2,0,2
1482,2,2,0,2,0,2
1484,2,2,0,2,0,2
1486,2,3,0,2,0,3
1488,2,3,0,2,0,3
1490,2,4,0,2,0,4
1492,2,4,0,2,0,4
1494,2,3,0,2,0,3
1496,2,4,0,2,0,4
1498,2,4,0,2,0,4
1500,2,4,0,2,0,4
1502,2,2,0,2,0,2
1504,2,2,0,2,0,2
1506,2,2,0,2,0,2
1508,2,2,0,2,0,2
1510,2,3,0,2,0,3
1512,2,2,0,2,0,2
1514,2,3,0,2,0,3
1516,2,2,0,2,0,2
1518,2,3,0,2,0,3
1520,2,3,0,2,0,3
1522,2,3,0,2,0,3
1524,2,2,0,2,0,2
1526,2,3,0,2,0,3
1528,2,2,0,2,0,2
1530,2,4,0,2,0,4
1532,2,3,0,2,0,3
1534,2,3,0,2,0,3
1536,2,4,0,2,0,4
1538,2,3,1,1,1,2
1540,2,3,0,2,0,3
1542,2,3,1,1,1,2
1544,2,3,0,2,0,3
1546,2,5,0,2,0,5
1548,2,3,1,1,1,2
1550,2,4,1,1,1,3
1552,2,2,0,2,0,2
1554,2,4,1,1,1,3
1556,2,3,1,1,1,2
1558,2,5,1,1,1,4
1560,2,5,1,1,1,4
1562,2,5,1,1,1,4
1564,2,3,1,1,1,2
1566,2,4,1,1,1,3
1568,2,6,1,1,1,5
1570,2,3,0,2,0,3
1572,2,3,0,2,0,3
1574,2,3,0,2,0,3
1576,2,2,0,2,0,2
1578,2,3,1,1,1,2
1580,2,2,0,2,0,2
1582,2,1,0,2,0,1
1584,2,1,0,2,0,1
1586,2,2,0,2,0,2
1588,2,0,0,2,0,0
1590,2,0,0,2,0,0
1592,2,0,0,2,0,0
1594,2,0,0,2,0,0
1596,2,0,0,2,0,0
1598,2,0,0,2,0,0
1600,2,0,0,2,0,0
1602,2,0,0,2,0,0
1604,2,1,0,2,0,1
1606,2,1,0,2,0,1
1608,2,0,0,2,0,0
1610,2,1,0,2,0,1
1612,2,1,0,2,0,1
1614,2,4,0,2,0,4
1616,2,2,0,2,0,2
1618,2,2,0,2,0,2
1620,2,1,0,2,0,1
1622,2,3,0,2,0,3
1624,2,2,0,2,0,2
1626,2,0,0,2,0,0
1628,2,4,0,2,0,4
1630,2,4,0,2,0,4
1632,2,1,0,2,0,1
1634,2,2,0,2,0,2
1636,2,3,0,2,0,3
1638,2,1,0,2,0,1
1640,2,1,1,1,1,0
1642,2,1,1,1,1,0
1644,2,3,0,2,0,3
1646,2,5,0,2,0,5
1648,2,4,1,1,1,3
1650,2,5,1,1,1,4
1652,2,3,1,1,1,2
1654,2,1,1,1,1,0
1656,2,4,1,1,1,3
1658,2,4,1,1,1,3
1660,2,3,1,1,1,2
1662,2,4,1,1,1,3
1664,2,3,1,1,1,2
1666,2,5,1,1,1,4
1668,2,6,1,1,1,5
1670,2,5,1,1,1,4
1672,2,4,1,1,1,3
1674,2,5,1,1,1,4
1676,2,6,2,0,2,4
1678,2,5,2,0,2,3
1680,2,6,2,0,2,4
1682,2,8,2,0,2,6
1684,2,7,2,0,2,5
1686,2,8,2,0,2,6
1688,2,7,2,0,2,5
1690,2,7,1,1,1,6
1692,2,4,1,1,1,3
1694,2,3,1,1,1,2
1696,2,2,1,1,1,1
1698,2,2,1,1,1,1
1700,2,4,1,1,1,3
1702,2,4,1,1,1,3
1704,2,2,1,1,1,1
1706,2,1,1,1,1,0
1708,2,3,1,1,1,2
1710,2,2,1,1,1,1
1712,2,3,1,1,1,2
1714,2,2,1,1,1,1
1716,2,2,1,1,1,1
1718,2,2,1,1,1,1
1720,2,2,2,0,2,0
1722,2,3,2,0,2,1
1724,2,3,2,0,2,1
1726,2,2,2,0,2,0
1728,2,3,2,0,2,1
1730,2,3,2,0,2,1
1732,2,2,2,0,2,0
1734,2,3,2,0,2,1
1736,2,2,2,0,2,0
1738,2,2,2,0,2,0
1740,2,2,2,0,2,0
1742,2,3,2,0,2,1
1744,2,3,2,0,2,1
1746,2,3,2,0,2,1
1748,2,3,2,0,2,1
1750,2,2,2,0,2,0
1752,2,3,2,0,2,1
1754,2,2,2,0,2,0
1756,2,2,2,0,2,0
1758,2,3,2,0,2,1
1760,2,2,2,0,2,0
1762,2,2,2,0,2,0
1764,2,2,2,0,2,0
1766,2,3,2,0,2,1
1768,2,3,2,0,2,1
1770,2,2,2,0,2,0
1772,2,2,2,0,2,0
1774,2,3,2,0,2,1
1776,2,2,1,1,1,1
1778,2,2,1,1,1,1
1780,2,2,1,1,1,1
1782,2,2,2,0,2,0
1784,2,2,2,0,2,0
1786,2,2,2,0,2,0
1788,2,2,2,0,2,0
1790,2,2,2,0,2,0
1792,2,2,2,0,2,0
1794,2,2,2,0,2,0
1796,2,2,2,0,2,0
1798,2,1,1,1,1,0
1800,2,1,1,1,1,0
1802,2,2,2,0,2,0
1804,2,2,2,0,2,0
1806,2,2,2,0,2,0
1808,2,2,2,0,2,0
1810,2,3,2,0,2,1
1812,2,3,2,0,2,1
1814,2,3,2,0,2,1
1816,2,4,2,0,2,2
1818,2,2,2,0,2,0
1820,2,3,2,0,2,1
1822,2,9,2,0,2,7
1824,2,6,2,0,2,4
1826,2,6,2,0,2,4
1828,2,3,2,0,2,1
1830,2,2,2,0,2,0
1832,2,3,2,0,2,1
1834,2,3,2,0,2,1
1836,2,3,2,0,2,1
1838,2,2,2,0,2,0
1840,2,2,2,0,2,0
1842,2,3,2,0,2,1
1844,2,2,2,0,2,0
1846,2,2,2,0,2,0
1848,2,2,2,0,2,0
1850,2,2,2,0,2,0
1852,2,2,2,0,2,0
1854,2,2,2,0,2,0
1856,2,4,2,0,2,2
1858,2,3,2,0,2,1
1860,2,2,2,0,2,0
1862,2,2,1,1,1,1
1864,2,2,2,0,2,0
1866,2,2,2,0,2,0
1868,2,2,2,0,2,0
1870,2,2,2,0,2,0
1872,2,3,2,0,2,1
1874,2,2,2,0,2,0
1876,2,2,2,0,2,0
1878,2,3,2,0,2,1
1880,2,3,2,0,2,1
1882,2,3,2,0,2,1
1884,2,2,2,0,2,0
1886,2,1,1,1,1,0
1888,2,1,1,1,1,0
1890,2,1,1,1,1,0
1892,2,1,1,1,1,0
1894,2,3,2,0,2,1
1896,2,2,2,0,2,0
1898,2,2,2,0,2,0
1900,2,2,2,0,2,0
1902,2,2,2,0,2,0
1904,2,3,2,0,2,1
1906,2,3,2,0,2,1
